SK_ID_CURR,risk_score_prob,score_points,risk_band
100002,0.2893733013027984,526,RED
100003,0.03217043618689139,598,GREEN
100004,0.03266922742195212,598,GREEN
100006,0.03960934260939,592,GREEN
100007,0.058378518763052924,580,YELLOW
100008,0.0344943934629719,596,GREEN
100009,0.029271899329305868,601,GREEN
100010,0.030074487618055572,600,GREEN
100011,0.0628279093911966,578,YELLOW
100012,0.02417017651323077,607,GREEN
100014,0.10521379793105058,562,YELLOW
100015,0.034314089733526634,596,GREEN
100016,0.02820630610412485,602,GREEN
100017,0.030491400728852043,600,GREEN
100018,0.021976550933240985,610,GREEN
100019,0.09088448840455333,566,YELLOW
100020,0.38751244295953596,513,RED
100021,0.024895359712334093,606,GREEN
100022,0.028740477810282643,602,GREEN
100023,0.06255466518224623,578,YELLOW
100024,0.07287880772520335,573,YELLOW
100025,0.1437361313222166,551,RED
100026,0.05328444177175463,583,YELLOW
100027,0.025983898340867673,605,GREEN
100029,0.033720243096245946,597,GREEN
100030,0.05760550423346278,581,YELLOW
100031,0.1198368061511346,558,YELLOW
100032,0.060631496468124456,579,YELLOW
100033,0.08448248341282093,569,YELLOW
100034,0.08094798709602774,570,YELLOW
100035,0.07452258622398372,573,YELLOW
100036,0.15471691972772983,549,RED
100037,0.027274519410120022,603,GREEN
100039,0.09406466442556374,565,YELLOW
100040,0.06518375885675685,577,YELLOW
100041,0.056526044856536235,581,YELLOW
100043,0.03389854684073195,597,GREEN
100044,0.036575264048006005,594,GREEN
100045,0.024427077880310708,606,GREEN
100046,0.03214600748816513,598,GREEN
100047,0.20744870792315478,539,RED
100048,0.11312742016806772,559,YELLOW
100049,0.0803783723168635,570,YELLOW
100050,0.026904696166445394,604,GREEN
100051,0.044081261926133056,589,GREEN
100052,0.10253669376999698,563,YELLOW
100053,0.17638834396409697,544,RED
100054,0.03799751836254676,593,GREEN
100055,0.04814615129329,586,GREEN
100056,0.024142821048927128,607,GREEN
100058,0.02694305185975233,603,GREEN
100059,0.036394544161777134,595,GREEN
100060,0.04590910172099012,588,GREEN
100061,0.043426180186965736,589,GREEN
100062,0.036672068887128415,594,GREEN
